Reference accuracy = 9240
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_DOWN	 Mask: 00010111
	BaseLine accuracy = 	1058
	RangeCorrect accuracy = 	1063
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1000
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00000001
	BaseLine accuracy = 	7438
	RangeCorrect accuracy = 	6566
	Unmasking layers accuracy = 	7577
	CompensatedBias accuracy = 	8125
	LayerUnmasked+CompensatedBias accuracy = 	8190
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00000010
	BaseLine accuracy = 	1258
	RangeCorrect accuracy = 	3262
	Unmasking layers accuracy = 	1311
	CompensatedBias accuracy = 	3112
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	5343
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00000011
	BaseLine accuracy = 	1736
	RangeCorrect accuracy = 	1001
	Unmasking layers accuracy = 	1696
	CompensatedBias accuracy = 	2069
	LayerUnmasked+CompensatedBias accuracy = 	2138
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00000100
	BaseLine accuracy = 	1438
	RangeCorrect accuracy = 	1052
	Unmasking layers accuracy = 	1760
	CompensatedBias accuracy = 	3629
	LayerUnmasked+CompensatedBias accuracy = 	4094
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00000101
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1000
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1285
	LayerUnmasked+CompensatedBias accuracy = 	1505
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00000110
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1000
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1006
	LayerUnmasked+CompensatedBias accuracy = 	1004
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00000111
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1000
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1000
	LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00001000
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1012
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	980
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1259
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00001001
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1000
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1002
	LayerUnmasked+CompensatedBias accuracy = 	1001
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00001010
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1000
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1000
	LayerUnmasked+CompensatedBias accuracy = 	989
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00001011
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1001
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1000
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	999
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00001100
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1005
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1000
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1005
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00001101
	BaseLine accuracy = 	1091
	RangeCorrect accuracy = 	999
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1000
	LayerUnmasked+CompensatedBias accuracy = 	981
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00001110
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1007
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1000
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1025
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00001111
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1022
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1000
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	994
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00010000
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1004
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1003
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	995
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00010001
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1000
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	998
	LayerUnmasked+CompensatedBias accuracy = 	998
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00010010
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	878
	Unmasking layers accuracy = 	1044
	CompensatedBias accuracy = 	996
	LayerUnmasked+CompensatedBias accuracy = 	989
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00010011
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	964
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1000
	LayerUnmasked+CompensatedBias accuracy = 	990
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00010100
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	944
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1000
	LayerUnmasked+CompensatedBias accuracy = 	988
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00010101
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	894
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1000
	LayerUnmasked+CompensatedBias accuracy = 	997
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_UP	 Mask: 00010110
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1107
