Reference accuracy = 9148
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100011	 RangeCorrection:False	 Correct: 1077	 Accuracy: 0.1077
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100011	 RangeCorrection:True	 Correct: 1157	 Accuracy: 0.1157
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100010	 RangeCorrection:False	 Correct: 1083	 Accuracy: 0.1083
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100010	 RangeCorrection:True	 Correct: 1412	 Accuracy: 0.1412
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100001	 RangeCorrection:False	 Correct: 1085	 Accuracy: 0.1085
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100001	 RangeCorrection:True	 Correct: 1090	 Accuracy: 0.109
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100000	 RangeCorrection:False	 Correct: 1143	 Accuracy: 0.1143
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10100000	 RangeCorrection:True	 Correct: 1364	 Accuracy: 0.1364
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10011100	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10011100	 RangeCorrection:True	 Correct: 944	 Accuracy: 0.0944
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10011010	 RangeCorrection:False	 Correct: 940	 Accuracy: 0.094
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10011010	 RangeCorrection:True	 Correct: 942	 Accuracy: 0.0942
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10011001	 RangeCorrection:False	 Correct: 939	 Accuracy: 0.0939
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10011001	 RangeCorrection:True	 Correct: 941	 Accuracy: 0.0941
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10011000	 RangeCorrection:False	 Correct: 933	 Accuracy: 0.0933
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10011000	 RangeCorrection:True	 Correct: 931	 Accuracy: 0.0931
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010110	 RangeCorrection:False	 Correct: 1007	 Accuracy: 0.1007
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010110	 RangeCorrection:True	 Correct: 945	 Accuracy: 0.0945
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010101	 RangeCorrection:False	 Correct: 1152	 Accuracy: 0.1152
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010101	 RangeCorrection:True	 Correct: 933	 Accuracy: 0.0933
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010100	 RangeCorrection:False	 Correct: 944	 Accuracy: 0.0944
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010100	 RangeCorrection:True	 Correct: 999	 Accuracy: 0.0999
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010011	 RangeCorrection:False	 Correct: 999	 Accuracy: 0.0999
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010011	 RangeCorrection:True	 Correct: 950	 Accuracy: 0.095
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010010	 RangeCorrection:False	 Correct: 990	 Accuracy: 0.099
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010010	 RangeCorrection:True	 Correct: 988	 Accuracy: 0.0988
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010001	 RangeCorrection:False	 Correct: 1133	 Accuracy: 0.1133
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010001	 RangeCorrection:True	 Correct: 982	 Accuracy: 0.0982
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010000	 RangeCorrection:False	 Correct: 936	 Accuracy: 0.0936
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10010000	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001110	 RangeCorrection:False	 Correct: 997	 Accuracy: 0.0997
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001110	 RangeCorrection:True	 Correct: 1065	 Accuracy: 0.1065
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001101	 RangeCorrection:False	 Correct: 1025	 Accuracy: 0.1025
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001101	 RangeCorrection:True	 Correct: 1053	 Accuracy: 0.1053
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 10001100	 RangeCorrection:False	 Correct: 1005	 Accuracy: 0.1005
