Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 5 [35000/50000 (70%)]	Loss: 0.995594	Accuracy: 0.62
Train Epoch: 5 [37500/50000 (75%)]	Loss: 0.998339	Accuracy: 0.66
Train Epoch: 5 [40000/50000 (80%)]	Loss: 1.115764	Accuracy: 0.52
Train Epoch: 5 [42500/50000 (85%)]	Loss: 1.067816	Accuracy: 0.64
Train Epoch: 5 [45000/50000 (90%)]	Loss: 0.968127	Accuracy: 0.56
Train Epoch: 5 [47500/50000 (95%)]	Loss: 1.257028	Accuracy: 0.58

Test set: Epoch: 5 Average loss: 10.7200, Accuracy: 5493/10000 (55%)

Best acc:58.82

Train Epoch: 6 [0/50000 (0%)]	Loss: 0.912388	Accuracy: 0.68
Train Epoch: 6 [2500/50000 (5%)]	Loss: 0.891098	Accuracy: 0.8
Train Epoch: 6 [5000/50000 (10%)]	Loss: 0.981633	Accuracy: 0.64
Train Epoch: 6 [7500/50000 (15%)]	Loss: 0.957492	Accuracy: 0.64
Train Epoch: 6 [10000/50000 (20%)]	Loss: 0.836433	Accuracy: 0.74
Train Epoch: 6 [12500/50000 (25%)]	Loss: 0.831899	Accuracy: 0.72
Train Epoch: 6 [15000/50000 (30%)]	Loss: 0.927216	Accuracy: 0.68
Train Epoch: 6 [17500/50000 (35%)]	Loss: 0.868714	Accuracy: 0.7
Train Epoch: 6 [20000/50000 (40%)]	Loss: 0.659292	Accuracy: 0.74
Train Epoch: 6 [22500/50000 (45%)]	Loss: 0.891023	Accuracy: 0.7
Train Epoch: 6 [25000/50000 (50%)]	Loss: 0.775455	Accuracy: 0.74
Train Epoch: 6 [27500/50000 (55%)]	Loss: 0.685151	Accuracy: 0.76
Train Epoch: 6 [30000/50000 (60%)]	Loss: 0.610769	Accuracy: 0.76
Train Epoch: 6 [32500/50000 (65%)]	Loss: 0.918357	Accuracy: 0.64
Train Epoch: 6 [35000/50000 (70%)]	Loss: 0.675264	Accuracy: 0.86
Train Epoch: 6 [37500/50000 (75%)]	Loss: 0.814467	Accuracy: 0.7
Train Epoch: 6 [40000/50000 (80%)]	Loss: 0.769848	Accuracy: 0.66
Train Epoch: 6 [42500/50000 (85%)]	Loss: 1.116755	Accuracy: 0.68
Train Epoch: 6 [45000/50000 (90%)]	Loss: 1.052921	Accuracy: 0.7
Train Epoch: 6 [47500/50000 (95%)]	Loss: 0.784112	Accuracy: 0.78

Test set: Epoch: 6 Average loss: 9.9330, Accuracy: 6376/10000 (64%)

Best acc:63.76

Train Epoch: 7 [0/50000 (0%)]	Loss: 1.026549	Accuracy: 0.64
Train Epoch: 7 [2500/50000 (5%)]	Loss: 0.734302	Accuracy: 0.76
Train Epoch: 7 [5000/50000 (10%)]	Loss: 0.830938	Accuracy: 0.72
Train Epoch: 7 [7500/50000 (15%)]	Loss: 0.724285	Accuracy: 0.7
Train Epoch: 7 [10000/50000 (20%)]	Loss: 0.731597	Accuracy: 0.68
Train Epoch: 7 [12500/50000 (25%)]	Loss: 0.917917	Accuracy: 0.64
Train Epoch: 7 [15000/50000 (30%)]	Loss: 0.822291	Accuracy: 0.64
Train Epoch: 7 [17500/50000 (35%)]	Loss: 0.674050	Accuracy: 0.7
Train Epoch: 7 [20000/50000 (40%)]	Loss: 0.560231	Accuracy: 0.82
Train Epoch: 7 [22500/50000 (45%)]	Loss: 0.875124	Accuracy: 0.66
Train Epoch: 7 [25000/50000 (50%)]	Loss: 0.745310	Accuracy: 0.74
Train Epoch: 7 [27500/50000 (55%)]	Loss: 0.817575	Accuracy: 0.7
